Title,URL
Vorrede, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/11_PV_Vorrede_pres.docx.xml
Table of Contents, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/12_PV_ToC_pres.docx.xml
Chapter I, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/13_PV_Versuch_I_pres.docx.xml
Chapter II, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/14_PV_Versuch_II_pres.docx.xml
Chapter III, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/15_PV_Versuch_III_pres.docx.xml
Chapter IV, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/16_PV_Versuch_IV_pres.docx.xml
Chapter V, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/17_PV_Versuch_V_pres.docx.xml
Chapter VI, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/18_PV_Versuch_VI_pres.docx.xml
Chapter VII, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/19_PV_Versuch_VII_pres.docx.xml
Chapter VIII, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/20_PV_Versuch_VIII_pres.docx.xml
Chapter IX, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/21_PV_Versuch_IX_pres.docx.xml
Chapter X, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/22_PV_Versuch_X_pres.docx.xml
Chapter XI, https://raw.githubusercontent.com/mzahorec/tetens/refs/heads/main/out20251020/23_PV_Versuch_XI_pres.docx.xml



